date,mua_vao,ban_ra
22/07/2009,21060.0,21120.0
23/07/2009,21140.0,21190.0
24/07/2009,21090.0,21140.0
25/07/2009,21090.0,21140.0
26/07/2009,21090.0,21140.0
27/07/2009,21130.0,21190.0
28/07/2009,21130.0,21190.0
29/07/2009,21130.0,21190.0
30/07/2009,21130.0,21190.0
31/07/2009,21130.0,21190.0
01/08/2009,21130.0,21190.0
02/08/2009,21130.0,21190.0
03/08/2009,21130.0,21190.0
04/08/2009,21130.0,21190.0
05/08/2009,21130.0,21190.0
06/08/2009,21130.0,21190.0
07/08/2009,21130.0,21190.0
08/08/2009,21130.0,21190.0
09/08/2009,21130.0,21190.0
10/08/2009,21130.0,21190.0
11/08/2009,21130.0,21190.0
12/08/2009,21130.0,21190.0
13/08/2009,21130.0,21190.0
14/08/2009,21130.0,21190.0
15/08/2009,21130.0,21190.0
16/08/2009,21130.0,21190.0
17/08/2009,21130.0,21190.0
18/08/2009,21130.0,21190.0
19/08/2009,21130.0,21190.0
20/08/2009,21130.0,21190.0
21/08/2009,21130.0,21190.0
22/08/2009,21130.0,21190.0
23/08/2009,21130.0,21190.0
24/08/2009,21130.0,21190.0
25/08/2009,21130.0,21190.0
26/08/2009,21130.0,21190.0
21/09/2009,22090.0,22140.0
22/09/2009,22220.0,22280.0
23/09/2009,22270.0,22320.0
24/09/2009,22230.0,22280.0
25/09/2009,22070.0,22130.0
26/09/2009,22040.0,22090.0
27/09/2009,22040.0,22090.0
28/09/2009,22070.0,22120.0
29/09/2009,22090.0,22140.0
30/09/2009,22190.0,22240.0
01/10/2009,22250.0,22300.0
02/10/2009,22180.0,22230.0
03/10/2009,22220.0,22270.0
04/10/2009,22220.0,22270.0
05/10/2009,22270.0,22320.0
06/10/2009,22500.0,22560.0
07/10/2009,22920.0,22990.0
08/10/2009,23130.0,23190.0
09/10/2009,23040.0,23090.0
10/10/2009,23070.0,23120.0
11/10/2009,23070.0,23120.0
12/10/2009,23150.0,23200.0
13/10/2009,23490.0,23550.0
14/10/2009,23760.0,23840.0
15/10/2009,23570.0,23640.0
16/10/2009,23470.0,23520.0
17/10/2009,23570.0,23620.0
18/10/2009,23570.0,23620.0
19/10/2009,23650.0,23700.0
20/10/2009,23820.0,23890.0
21/10/2009,23740.0,23790.0
22/10/2009,23800.0,23850.0
23/10/2009,23890.0,23940.0
24/10/2009,23890.0,23940.0
25/10/2009,23890.0,23940.0
26/10/2009,23890.0,23950.0
27/10/2009,23800.0,23860.0
28/10/2009,23790.0,23850.0
29/10/2009,23720.0,23780.0
30/10/2009,23800.0,23850.0
31/10/2009,23820.0,23880.0
01/11/2009,23820.0,23880.0
02/11/2009,23890.0,23950.0
03/11/2009,24000.0,24060.0
04/11/2009,24650.0,24750.0
05/11/2009,24670.0,24750.0
06/11/2009,25260.0,25360.0
07/11/2009,25300.0,25400.0
08/11/2009,25300.0,25400.0
09/11/2009,26300.0,26500.0
10/11/2009,26550.0,26750.0
11/11/2009,26800.0,27500.0
12/11/2009,25500.0,26000.0
13/11/2009,25800.0,26300.0
14/11/2009,26300.0,26800.0
15/11/2009,26300.0,26800.0
16/11/2009,26500.0,26800.0
17/11/2009,26700.0,26900.0
18/11/2009,26970.0,27170.0
19/11/2009,26900.0,27100.0
20/11/2009,27260.0,27360.0
21/11/2009,27480.0,27580.0
22/11/2009,27480.0,27580.0
23/11/2009,28350.0,28450.0
24/11/2009,28470.0,28570.0
25/11/2009,28520.0,28600.0
26/11/2009,28600.0,28680.0
27/11/2009,27900.0,28200.0
28/11/2009,28150.0,28250.0
29/11/2009,28150.0,28250.0
30/11/2009,27900.0,28000.0
01/12/2009,28350.0,28420.0
02/12/2009,28650.0,28700.0
03/12/2009,28550.0,28600.0
04/12/2009,28490.0,28530.0
05/12/2009,28000.0,28150.0
06/12/2009,28000.0,28150.0
07/12/2009,27850.0,27900.0
08/12/2009,28000.0,28060.0
09/12/2009,27630.0,27680.0
10/12/2009,27320.0,27370.0
11/12/2009,27200.0,27300.0
12/12/2009,26750.0,26900.0
13/12/2009,26750.0,26900.0
14/12/2009,26840.0,26920.0
15/12/2009,26940.0,27000.0
16/12/2009,27050.0,27130.0
17/12/2009,27160.0,27220.0
18/12/2009,26800.0,26860.0
19/12/2009,27000.0,27100.0
20/12/2009,27000.0,27100.0
21/12/2009,26950.0,27020.0
22/12/2009,26610.0,26680.0
23/12/2009,26150.0,26230.0
24/12/2009,26430.0,26500.0
25/12/2009,26480.0,26560.0
26/12/2009,26550.0,26600.0
27/12/2009,26550.0,26600.0
28/12/2009,26800.0,26880.0
29/12/2009,26600.0,26650.0
30/12/2009,26410.0,26480.0
31/12/2009,26540.0,26740.0
